Pan troglodytes
Helianthus annuus
Papio anubis
Anolis carolinensis
Chlamydomonas reinhardtii
Aedes aegypti
Anas platyrhynchos
Streptococcus agalactiae
Heliconius melpomene
Drosophila sechellia
Anopheles gambiae
Bos taurus
Pongo abelii
Homo sapiens
Escherichia coli
Drosophila melanogaster
Canis familiaris
Arabidopsis thaliana
Apis mellifera
Caenorhabditis elegans
Gasterosteus aculeatus
